sim_id,npv_merchant_eur,npv_pay_as_produced_eur,npv_baseload_eur
71,19603097.6,23614239.64,18327904.97
72,20979498.51,23134611.69,17689370.68
73,20934747.82,23229569.84,18179738.46
74,18722938.54,23171585.11,19802429.97
75,20645244.29,23130985.04,17926172.41
76,20682625.75,23168370.13,17092350.25
77,20776407.89,24078953.7,19441202.39
78,22110596.54,23397678.4,18522727.12
79,17571811.82,24085331.64,19503485.84
80,18956530.44,22981562.62,17946099.2
81,16629829.88,24170552.76,21102715.3
82,17528027.94,23173512.95,20047543.25
83,18292938.33,23893858.41,20663842.69
84,19852864.08,23663352.0,19098069.09
85,20203556.25,23715766.15,20590728.06
86,15954390.93,24137353.94,19499148.55
87,19008262.99,22961820.01,19046085.05
88,22543937.3,23913163.98,19001301.1
89,21743778.91,23278096.51,16870901.77
90,18735703.54,23066062.92,19102958.69
91,23346801.0,24662523.32,18613742.03
92,22462244.35,23498629.05,18861799.06
93,18088150.25,23332514.64,18739924.93
94,20049915.72,23220001.31,18009600.56
95,20879131.01,23636955.45,18656537.48
96,17914430.39,23070048.39,19050627.01
97,18818304.25,23251243.4,17532185.43
98,22921895.13,23829784.25,18377596.07
99,21029955.74,23105907.56,16933718.37
100,20752853.86,23402259.22,19098932.42
101,17429862.52,23326265.14,18404864.9
102,13311692.11,23140726.41,20608073.14
103,23735510.89,23702485.66,16557702.25
104,21318407.89,23533942.84,17657819.17
105,14754787.65,23359569.41,20900785.58
106,16246953.15,22657599.03,18242903.22
107,21621502.5,23348200.77,18070630.52
108,21854506.94,24498364.9,18861629.95
109,22300521.0,23348948.44,18893566.42
110,19138398.85,24026442.23,18967582.31
111,22542496.82,23889265.67,17839523.52
112,22307003.42,23427945.99,18265531.59
113,17907133.33,23252072.5,18725823.6
114,16667582.74,23523702.07,21173708.04
115,21705133.67,24170508.41,18901488.18
116,16742221.03,24114407.12,19840093.92
117,19989265.09,23275257.55,17505186.77
118,15879627.85,23874984.38,21023137.53
119,20830755.27,23254157.22,19197091.15
120,20565140.63,23302433.67,18655153.76
121,19027484.88,23192361.04,17700822.96
122,20391928.7,23447913.97,18605210.07
123,21598472.68,23579243.4,19039131.36
124,21907534.19,23965840.14,19325205.91
125,15161918.24,22581436.43,20338882.19
126,17397240.92,23367498.74,19732771.24
127,17194277.04,23072119.68,19005697.46
128,17478277.81,22842294.85,18408608.84
129,17407428.67,23818254.7,19217369.06
130,16088553.27,23223480.04,19471864.22
131,19918679.75,23771430.46,18002938.45
132,22012126.97,23857617.24,18608828.31
133,23618326.42,23852323.55,17914927.56
134,14931219.56,23022247.16,18550311.17
135,23019175.74,23109695.88,15397145.15
136,17887372.58,23582101.18,19986527.58
137,18612477.12,24017206.33,20096346.64
138,18281914.37,23881536.47,19843666.21
139,21033312.85,22904691.93,18001884.13
140,14782343.66,23392372.56,20675366.75
141,18549684.66,22922640.84,17321852.57
142,18988408.66,23559283.26,18808308.52
143,19327604.24,23341069.22,18432376.03
144,14838515.88,22392101.48,19815868.96
145,16550802.61,24144236.95,20730246.04
146,17699783.26,22868668.02,18624722.71
147,20425197.02,23516559.22,18260876.71
148,12743767.02,22794371.55,20721586.87
149,20383639.28,23762329.72,18194540.87
150,20488462.79,23256496.9,18913187.24
151,19547151.89,23431748.26,18059239.28
152,19884005.67,23679140.37,18891871.25
153,19600243.38,23567637.5,18881466.54
154,18128161.92,23685332.52,19966266.76
155,17043653.7,23379208.65,19756075.53
156,18593698.64,24098038.13,20337922.25
157,17737318.95,23790361.73,19611319.48
158,21535810.99,23472035.61,18874542.23
159,21077307.45,23128926.7,18629708.75
160,12842641.73,23907994.67,20803337.68
161,18944455.27,22679843.85,18396618.57
162,22659320.63,23599978.65,16832674.49
163,16493711.73,23351056.62,19934964.42
164,17053984.93,23391467.46,18849128.85
165,25851207.32,22969084.5,16680053.84
166,20727647.89,23092569.91,18614971.49
167,20755603.59,24134166.67,18159689.87
168,21461863.39,23658907.89,19638975.5
169,17509491.15,23449157.66,19196029.27
170,18901178.82,23844793.24,18339935.27
171,19903151.73,23392559.08,19038173.22
172,22324474.74,23649417.06,17966769.23
173,18658190.58,23284134.6,17540449.77
174,19995735.93,23448892.61,18640544.27
175,23169958.44,23578137.75,19154249.88
176,17920139.11,22963566.89,18986019.86
177,19351127.13,23807093.22,20741118.47
178,18894557.21,23168859.6,18384333.1
179,16468681.71,23136716.37,18825413.8
